成交日期,成交时间,证券代码,证券名称,操作,成交数量,成交编号,成交均价,成交金额,余额,发生金额,手续费,印花税,其他杂费,本次金额,合同编号,市场名称,交易市场,
20260303,14:13:52,600497,驰宏锌锗,卖出,-400,76117193,10.270,4108.000,0.00,4100.910,5.000,2.050,0.040,52380.420,24197,上海Ａ股,上海Ａ股,
20260303,13:11:29,920223,荣亿精密,卖出,-300,01537761,18.670,5601.000,0.00,5597.240,0.900,2.800,0.060,48279.510,20280,三板A/京A,三板A/京A,
20260303,09:36:12,600371,万向德农,卖出,-500,7992596,9.660,4830.000,0.00,4822.530,5.000,2.420,0.050,42682.270,4423,上海Ａ股,上海Ａ股,
20260227,14:51:04,300342,天银机电,买入,200,0102000075861801,46.110,9222.000,200.00,-9227.000,5.000,0.000,0.000,37859.740,21483,深圳Ａ股,深圳Ａ股,
20260227,13:41:23,600589,大位科技,卖出,-200,48796306,13.050,2610.000,0.00,2603.660,5.000,1.310,0.030,47086.740,17232,上海Ａ股,上海Ａ股,
20260227,10:52:06,600589,大位科技,卖出,-200,32695803,13.280,2656.000,200.00,2649.640,5.000,1.330,0.030,44483.080,11996,上海Ａ股,上海Ａ股,
20260227,09:47:32,003007,直真科技,买入,200,0101000016945603,47.010,9402.000,200.00,-9407.000,5.000,0.000,0.000,41833.440,5338,深圳Ａ股,深圳Ａ股,
20260227,09:30:33,920223,荣亿精密,买入,300,00037187,20.400,6120.000,300.00,-6121.040,0.980,0.000,0.060,51240.440,867,三板A/京A,三板A/京A,
20260226,09:30:03,600497,驰宏锌锗,买入,400,404065,10.010,4004.000,400.00,-4009.040,5.000,0.000,0.040,57361.480,629,上海Ａ股,上海Ａ股,
20260224,10:19:25,600589,大位科技,买入,200,26005370,12.010,2402.000,400.00,-2407.020,5.000,0.000,0.020,61370.520,7804,上海Ａ股,上海Ａ股,
20260224,09:42:03,600143,金发科技,卖出,-300,11939762,19.250,5775.000,0.00,5767.050,5.000,2.890,0.060,63777.540,4705,上海Ａ股,上海Ａ股,
20260213,10:26:10,600589,大位科技,买入,200,22119856,13.850,2770.000,200.00,-2775.030,5.000,0.000,0.030,58008.200,8505,上海Ａ股,上海Ａ股,
20260212,09:34:18,600143,金发科技,买入,300,4123888,18.930,5679.000,300.00,-5684.060,5.000,0.000,0.060,60760.420,2354,上海Ａ股,上海Ａ股,
20260210,11:15:59,301313,凡拓数创,卖出,-300,0102000041549155,32.690,9807.000,0.00,9797.100,5.000,4.900,0.000,66439.000,13235,深圳Ａ股,深圳Ａ股,
20260209,09:34:32,002141,贤丰控股,卖出,-1500,0103000007361570,3.850,5775.000,0.00,5767.110,5.000,2.890,0.000,56639.540,3629,深圳Ａ股,深圳Ａ股,
20260205,09:32:15,002160,常铝股份,卖出,-800,0104000005322681,5.760,4608.000,0.00,4600.700,5.000,2.300,0.000,50865.000,2424,深圳Ａ股,深圳Ａ股,
20260204,14:50:26,002160,常铝股份,卖出,-800,0103000081408244,5.870,4696.000,800.00,4688.650,5.000,2.350,0.000,46262.460,23993,深圳Ａ股,深圳Ａ股,
20260204,09:30:04,002160,常铝股份,买入,800,0103000002148350,5.970,4776.000,1600.00,-4781.000,5.000,0.000,0.000,41573.810,1754,深圳Ａ股,深圳Ａ股,
20260203,14:54:46,600371,万向德农,买入,500,69966604,9.630,4815.000,500.00,-4820.050,5.000,0.000,0.050,46352.890,25029,上海Ａ股,上海Ａ股,
20260203,09:25:00,002160,常铝股份,买入,800,0103000001053771,5.510,4408.000,800.00,-4413.000,5.000,0.000,0.000,51172.940,1062,深圳Ａ股,深圳Ａ股,
20260130,14:31:45,603214,爱婴室,卖出,-300,73763223,17.760,5328.000,0.00,5320.290,5.000,2.660,0.050,55581.220,27152,上海Ａ股,上海Ａ股,
20260130,14:16:08,000890,法尔胜,卖出,-1000,0101000079175893,5.170,5170.000,0.00,5162.410,5.000,2.590,0.000,50260.930,26184,深圳Ａ股,深圳Ａ股,
